name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Shakib Al Hasan,BAN,19.88,17.8,6.67,22.377,1.253,0.063,1.056,24.905,22.1,Best,SB,0.646,1.394
TG Southee,NZ,24.58,17.9,8.19,22.167,1.233,0.022,1.159,30.322,33.552,Good,SB,0.629,1.398
Rashid Khan,AFG,13.0,12.7,6.12,22.741,1.787,0.098,1.509,23.246,13.26,Best,SB,0.769,1.643
SL Malinga,SL,20.79,16.8,7.42,21.651,1.289,0.036,1.162,26.807,25.71,Best,SB,0.643,1.392
Shahid Afridi,PAK,24.44,22.1,6.63,22.342,1.01,0.031,0.915,24.701,27.006,Best,SB,0.598,1.285
Mustafizur Rahman,BAN,19.65,15.5,7.57,21.467,1.381,0.063,1.186,27.143,24.792,Best,SB,0.656,1.427
Saeed Ajmal,PAK,17.83,16.8,6.36,22.686,1.349,0.063,1.169,24.063,18.9,Best,SB,0.674,1.451
IS Sodhi,NZ,21.97,16.3,8.05,21.216,1.297,0.031,1.21,28.5,29.476,Best,SB,0.637,1.391
AU Rashid,ENG,22.71,18.7,7.26,21.703,1.157,0.029,1.074,26.286,27.479,Best,SB,0.62,1.338
CJ Jordan,ENG,28.12,19.4,8.65,21.041,1.081,0.027,1.0,30.405,40.54,Average,IB,0.609,1.283
DJ Bravo,WI,26.1,19.2,8.11,19.519,1.013,0.039,0.892,26.442,35.278,Good,IB,0.629,1.187
GH Dockrell,IRE,21.6,18.1,7.12,18.921,1.041,0.014,1.0,22.493,25.632,Best,SPB,0.635,1.186
Mohammad Nabi,AFG,27.92,23.1,7.25,19.712,0.854,0.034,0.744,23.843,33.737,Good,IB,0.642,1.115
S Lamichhane,NEPAL,12.76,12.0,6.34,22.538,1.872,0.051,1.757,23.897,13.483,Best,SB,0.791,1.693
A Zampa,AUS,21.22,18.7,6.79,21.787,1.164,0.016,1.1,24.705,24.014,Best,SB,0.629,1.342
JJ Bumrah,INDIA,19.89,18.3,6.5,21.911,1.196,0.0,1.196,23.804,21.548,Best,SB,0.646,1.371
KMDN Kulasekara,SL,23.18,18.6,7.45,21.217,1.138,0.034,1.036,26.379,28.782,Best,SB,0.608,1.311
BAW Mendis,SL,14.42,13.4,6.45,22.662,1.692,0.128,1.235,24.41,15.502,Best,SB,0.729,1.57
MJ Santner,NZ,22.95,18.9,7.27,20.479,1.082,0.033,0.983,24.836,27.808,Best,SB,0.592,1.257
SCJ Broad,ENG,22.93,18.0,7.62,21.305,1.182,0.018,1.13,27.109,29.121,Best,SB,0.62,1.341
B Kumar,INDIA,24.01,20.7,6.96,21.339,1.032,0.048,0.864,24.79,27.852,Best,SB,0.585,1.251
DW Steyn,SA,18.35,15.8,6.94,21.587,1.362,0.043,1.244,25.0,21.225,Best,SB,0.667,1.429
Bilal Khan,OMA,16.5,15.4,6.41,21.613,1.4,0.067,1.214,23.111,17.628,Best,SB,0.677,1.438
Imran Tahir,SA,15.04,13.4,6.73,22.184,1.658,0.105,1.324,24.947,16.87,Best,SB,0.723,1.558
MA Starc,AUS,23.14,18.3,7.55,22.706,1.235,0.0,1.235,28.588,29.118,Best,SB,0.647,1.423
TA Boult,NZ,21.69,16.0,8.12,22.541,1.409,0.023,1.349,30.568,29.354,Best,SB,0.672,1.496
PWH de Silva,SL,14.14,12.8,6.61,22.067,1.722,0.056,1.588,24.361,15.578,Best,SB,0.752,1.61
R Ashwin,INDIA,21.27,18.7,6.79,22.471,1.196,0.039,1.082,25.451,24.071,Best,SB,0.641,1.38
Mohammad Hafeez,PAK,22.75,20.6,6.6,15.957,0.772,0.013,0.731,17.57,25.025,Best,SPB,0.607,0.948
SM Sharif,SCOT,24.09,17.8,8.11,20.896,1.173,0.038,1.06,28.269,32.562,Good,SB,0.606,1.316
Hasan Ali,PAK,23.15,16.6,8.35,20.762,1.25,0.021,1.191,28.938,32.217,Good,SB,0.622,1.357
Rohan Mustafa,UAE,19.63,17.3,6.79,19.985,1.154,0.019,1.098,22.654,22.215,Best,SB,0.612,1.276
MR Adair,IRE,16.88,14.3,7.07,21.615,1.513,0.051,1.378,25.538,19.89,Best,SB,0.697,1.498
Mohammad Amir,PAK,21.4,18.2,7.02,21.54,1.18,0.02,1.122,25.26,25.038,Best,SB,0.629,1.345
NL McCullum,NZ,22.03,19.3,6.82,19.027,0.983,0.034,0.877,21.661,25.041,Best,SPB,0.637,1.155
KJ O'Brien,IRE,19.81,15.8,7.51,17.596,1.115,0.019,1.059,22.096,24.796,Best,SPB,0.626,1.172
PM Seelaar,NED,22.24,19.5,6.83,17.662,0.906,0.016,0.857,20.156,25.317,Best,SPB,0.623,1.073
T Shamsi,SA,21.81,18.9,6.91,21.96,1.16,0.04,1.042,25.3,25.118,Best,SB,0.624,1.345
Karan KC,NEPAL,16.87,13.4,7.53,20.116,1.5,0.079,1.257,25.316,21.172,Best,SB,0.669,1.425
S Badree,WI,21.07,20.4,6.17,22.038,1.077,0.019,1.02,22.692,21.667,Best,SB,0.62,1.309
MRJ Watt,SCOT,20.78,17.8,6.97,22.267,1.244,0.022,1.159,25.867,24.139,Best,SB,0.646,1.396
Imad Wasim,PAK,23.49,22.2,6.33,21.474,0.965,0.035,0.836,22.667,24.782,Best,SPB,0.664,1.225
WB Rankin,ENG/IRE,22.16,19.4,6.84,21.796,1.122,0.0,1.122,24.878,25.262,Best,SB,0.623,1.333
Sohail Tanvir,PAK,26.92,22.4,7.18,21.284,0.947,0.0,0.947,25.509,32.214,Good,IB,0.653,1.229
RE van der Merwe,NED/SA,18.42,17.2,6.41,21.15,1.227,0.023,1.163,22.614,19.679,Best,SB,0.643,1.35
SP Narine,WI,21.25,21.1,6.01,22.457,1.061,0.02,1.0,22.551,21.285,Best,SB,0.621,1.314
JN Frylinck,NAM,15.05,13.6,6.62,20.471,1.5,0.059,1.281,22.588,16.605,Best,SB,0.683,1.433
NLTC Perera,SL,33.66,21.6,9.34,16.424,0.761,0.0,0.761,25.627,52.397,Average,IB,0.576,0.959
K Rabada,SA,26.0,18.4,8.43,21.921,1.186,0.0,1.186,30.837,36.53,Good,SB,0.619,1.374
GP Swann,ENG,16.84,15.8,6.36,21.316,1.342,0.0,1.342,22.605,17.85,Best,SB,0.675,1.415
SO Ngoche,KENYA,18.42,17.0,6.49,20.85,1.225,0.05,1.079,22.575,19.924,Best,SB,0.634,1.331
PVD Chameera,SL,30.27,22.3,8.14,21.396,0.96,0.02,0.898,29.06,41.066,Average,IB,0.613,1.236
SS Cottrell,WI,23.14,17.7,7.81,21.315,1.2,0.025,1.128,27.775,30.121,Good,SB,0.622,1.348
RA Jadeja,INDIA,27.45,23.3,7.04,20.046,0.857,0.0,0.857,23.536,32.208,Good,IB,0.653,1.139
PA van Meekeren,NED,22.52,18.7,7.19,20.468,1.091,0.045,0.952,24.568,26.986,Best,SB,0.591,1.256
SR Watson,AUS,24.72,19.3,7.65,18.98,0.98,0.02,0.917,24.224,31.518,Good,IB,0.648,1.158
CA Young,IRE,25.25,19.4,7.79,20.257,1.043,0.043,0.909,26.348,32.783,Good,IB,0.641,1.227
AC Agar,AUS,22.29,20.6,6.48,21.052,1.022,0.043,0.818,22.783,24.073,Best,SPB,0.66,1.226
M Morkel,SA,25.34,20.2,7.5,21.6,1.068,0.045,0.929,27.068,31.675,Good,SB,0.591,1.287
Shaheen Shah Afridi,PAK,24.31,18.8,7.75,22.08,1.175,0.0,1.175,28.575,31.4,Good,SB,0.625,1.372
AJ Tye,AUS,21.21,14.5,8.75,21.968,1.516,0.032,1.433,32.161,30.931,Good,SB,0.684,1.528
Aizaz Khan,HKG,20.28,17.3,6.99,20.492,1.179,0.0,1.179,23.923,23.626,Best,SB,0.624,1.312
JR Hazlewood,AUS,18.02,14.9,7.22,22.88,1.533,0.133,1.154,27.633,21.684,Best,SB,0.693,1.53
Khawar Ali,OMA,17.17,15.5,6.62,18.338,1.179,0.077,0.944,20.256,18.944,Best,SPB,0.66,1.21
Iqbal Hussain,QAT,15.4,12.5,7.37,21.692,1.731,0.077,1.542,26.654,18.916,Best,SB,0.739,1.6
Abdur Razzak,BAN,19.04,16.5,6.88,22.073,1.333,0.03,1.25,25.394,21.833,Best,SB,0.667,1.435
Ahsan Malik,NED,16.59,13.0,7.61,19.759,1.517,0.069,1.296,25.172,21.042,Best,SB,0.671,1.423
PJ Cummins,AUS,22.77,19.3,7.05,21.846,1.128,0.0,1.128,25.692,26.755,Best,SB,0.623,1.337
JW Dernbach,ENG/ITA,26.59,18.7,8.49,21.138,1.128,0.026,1.053,30.0,37.625,Good,SB,0.594,1.31
DJG Sammy,WI,25.36,20.8,7.31,15.498,0.746,0.034,0.614,18.915,30.897,Good,SPB,0.575,0.905
Al-Amin Hossain,BAN,16.97,14.2,7.13,21.145,1.483,0.0,1.483,25.172,20.166,Best,SB,0.695,1.479
TL Chatara,ZIM,24.3,19.5,7.46,22.105,1.132,0.0,1.132,27.5,30.213,Good,SB,0.621,1.352
KD Mills,NZ,28.55,20.8,8.21,21.329,1.024,0.0,1.024,29.238,39.066,Good,IB,0.62,1.272
Haris Rauf,PAK,24.85,17.5,8.51,22.255,1.273,0.03,1.188,31.636,35.246,Good,SB,0.633,1.421
Mashrafe Mortaza,BAN,36.35,27.1,8.04,21.453,0.792,0.019,0.731,28.811,48.709,Average,IB,0.593,1.151
DM Nakrani,UGA,13.88,13.9,5.96,20.871,1.5,0.071,1.192,20.821,13.787,Best,SB,0.688,1.429
HH Pandya,INDIA,28.57,20.5,8.34,17.571,0.857,0.02,0.792,24.49,39.712,Good,IB,0.614,1.045
KA Pollard,WI,28.28,20.3,8.32,13.562,0.667,0.016,0.613,18.857,39.215,Good,LCB,0.461,0.802
KW Richardson,AUS,22.33,16.4,8.15,20.909,1.273,0.03,1.188,28.424,30.332,Good,SB,0.629,1.369
LM Jongwe,ZIM,19.31,13.9,8.33,19.655,1.414,0.034,1.321,27.31,26.809,Best,SB,0.649,1.39
Kuldeep Yadav,INDIA,14.75,12.5,7.07,22.252,1.783,0.087,1.524,26.304,17.38,Best,SB,0.753,1.631
Simi Singh,IRE,27.24,21.9,7.45,19.085,0.872,0.0,0.872,23.766,33.823,Good,IB,0.642,1.113
T van der Gugten,NED,21.43,17.8,7.21,18.692,1.051,0.0,1.051,22.538,25.752,Best,SPB,0.633,1.188
KOK Williams,WI,19.63,13.4,8.76,21.115,1.577,0.038,1.48,30.962,28.66,Best,SB,0.689,1.523
A Bohara,NEPAL,20.1,17.7,6.79,20.263,1.143,0.029,1.059,22.971,22.746,Best,SB,0.612,1.277
Dawlat Zadran,AFG,24.5,18.5,7.93,21.759,1.176,0.029,1.091,28.824,32.381,Good,SB,0.618,1.354
AC Evans,SCOT,22.3,17.4,7.68,21.75,1.25,0.031,1.129,27.875,28.544,Best,SB,0.632,1.38
Zahoor Khan,UAE,18.8,16.8,6.7,21.019,1.25,0.031,1.161,23.5,20.993,Best,SB,0.643,1.354
JO Holder,WI,25.84,19.0,8.15,21.776,1.147,0.088,0.839,29.647,35.099,Good,SB,0.591,1.313
AD Russell,WI,34.97,22.8,9.18,15.889,0.696,0.0,0.696,24.357,53.504,Average,IB,0.576,0.904
BM Scholtz,NAM,17.33,17.6,5.89,19.611,1.114,0.029,1.029,19.314,17.012,Best,SPB,0.688,1.239
N Vanua,PNG,17.76,15.3,6.95,19.88,1.3,0.067,1.071,23.1,20.572,Best,SB,0.631,1.322
MG Johnson,AUS,20.97,17.2,7.28,21.84,1.267,0.0,1.267,26.567,25.444,Best,SB,0.651,1.404
DL Vettori,NZ,19.68,20.7,5.7,23.135,1.118,0.029,1.03,22.0,18.696,Best,SB,0.642,1.361
D Wiese,NAM/SA,24.23,19.3,7.52,20.367,1.056,0.028,0.943,25.583,30.368,Good,SB,0.58,1.236
DJ Willey,ENG,22.47,16.8,7.99,19.969,1.188,0.031,1.097,26.688,29.923,Best,SB,0.603,1.293
Mahmudullah,BAN,26.94,22.4,7.19,12.203,0.544,0.0,0.544,14.662,32.283,Good,LCB,0.437,0.702
Mohammad Naveed,UAE,19.7,18.5,6.35,22.142,1.194,0.0,1.194,23.516,20.849,Best,SB,0.649,1.375
CW Perchard,JER,12.16,13.1,5.56,21.955,1.682,0.136,1.263,20.455,11.268,Best,SB,0.735,1.547
Shapoor Zadran,AFG,24.51,18.7,7.83,19.25,1.028,0.0,1.028,25.194,31.986,Good,IB,0.646,1.198
Ahmed Raza,UAE,31.94,29.1,6.57,20.192,0.692,0.019,0.608,22.115,34.974,Good,IB,0.645,1.041
Bilal Muhammad,MLT,18.52,17.0,6.51,22.711,1.333,0.074,1.12,24.704,20.094,Best,SB,0.668,1.442
JP Faulkner,AUS,19.0,14.3,7.96,21.375,1.5,0.042,1.348,28.5,25.207,Best,SB,0.679,1.481
GJ Maxwell,AUS,27.8,22.3,7.47,13.627,0.61,0.0,0.61,16.966,34.611,Good,LCB,0.468,0.785
AG Cremer,ZIM,18.85,16.2,6.94,20.357,1.25,0.0,1.25,23.571,21.803,Best,SB,0.64,1.342
AR Cusack,IRE,20.4,17.3,7.06,18.364,1.061,0.091,0.767,21.636,24.004,Best,SPB,0.629,1.148
Faheem Ashraf,PAK,25.8,20.5,7.53,17.488,0.854,0.0,0.854,22.024,32.379,Good,SPB,0.595,1.046
Hamid Hassan,AFG,16.57,15.5,6.39,21.696,1.4,0.04,1.292,23.2,17.647,Best,SB,0.683,1.447
NM Coulter-Nile,AUS,23.58,17.1,8.26,21.556,1.259,0.037,1.154,29.704,32.462,Good,SB,0.627,1.386
JH Davey,SCOT,23.26,17.4,8.0,21.889,1.259,0.074,1.04,29.296,31.013,Good,SB,0.626,1.385
CH Morris,SA,20.5,14.6,8.39,21.652,1.478,0.043,1.364,30.304,28.666,Best,SB,0.675,1.493
A Nehra,INDIA,22.29,17.2,7.73,21.778,1.259,0.0,1.259,28.074,28.717,Best,SB,0.642,1.401
Sompal Kami,NEPAL,24.67,21.0,7.04,19.314,0.919,0.0,0.919,22.676,28.946,Best,SPB,0.625,1.143
Wahab Riaz,PAK,28.55,20.8,8.2,20.263,0.971,0.0,0.971,27.743,39.018,Good,IB,0.621,1.207
MM Ali,ENG,25.87,19.6,7.89,15.443,0.786,0.0,0.786,20.333,34.019,Good,SPB,0.568,0.941
Amjad Javed,UAE,16.96,13.5,7.53,20.236,1.5,0.0,1.5,25.455,21.285,Best,SB,0.687,1.455
CB Mpofu,ZIM,31.36,21.0,8.94,21.638,1.031,0.031,0.935,32.344,46.726,Average,IB,0.584,1.283
Pavandeep Singh,MAL,20.18,16.9,7.14,21.485,1.269,0.0,1.269,25.615,24.014,Best,SB,0.649,1.391
JE Taylor,WI,26.15,18.1,8.63,20.0,1.1,0.0,1.1,28.767,37.612,Good,IB,0.621,1.262
SN Thakur,INDIA,23.39,15.3,9.15,21.05,1.375,0.042,1.261,32.167,35.67,Good,SB,0.639,1.423
SC Williams,ZIM,31.45,26.0,7.25,18.255,0.702,0.0,0.702,22.085,38.002,Good,SPB,0.586,0.995
Aamir Kaleem,OMA,17.4,15.0,6.96,17.143,1.143,0.143,0.583,19.893,20.184,Best,SPB,0.628,1.104
AF Milne,NZ,26.68,20.4,7.84,21.0,1.032,0.032,0.933,27.548,34.862,Good,IB,0.633,1.253
Mujeeb Ur Rahman,AFG,16.62,16.3,6.11,22.696,1.391,0.087,1.095,23.13,16.925,Best,SB,0.679,1.454
CR Brathwaite,WI,32.67,22.8,8.57,18.169,0.795,0.0,0.795,25.974,46.664,Average,IB,0.595,1.04
Karim Janat,AFG,28.51,20.9,8.17,18.531,0.886,0.029,0.765,25.257,38.821,Good,IB,0.616,1.085
JB Little,IRE,29.48,23.6,7.49,22.182,0.939,0.03,0.844,27.697,36.801,Good,IB,0.631,1.247
Mohammad Saifuddin,BAN,26.64,19.3,8.26,20.69,1.069,0.034,0.964,28.483,36.674,Good,IB,0.625,1.26
R Rampaul,WI,25.9,18.5,8.37,21.222,1.148,0.0,1.148,29.741,36.13,Good,SB,0.606,1.33
JJ Smit,NAM,18.58,16.4,6.77,21.25,1.292,0.042,1.087,24.0,20.964,Best,SB,0.644,1.361
DG Blampied,JER,19.13,17.3,6.62,19.938,1.154,0.038,1.04,22.077,21.107,Best,SB,0.61,1.267
BD Glover,NED,16.03,14.2,6.77,20.286,1.429,0.095,1.158,22.905,18.087,Best,SB,0.663,1.395
MJ McClenaghan,NZ,26.3,20.2,7.78,20.938,1.034,0.0,1.034,27.207,34.102,Good,IB,0.641,1.261
SVE Bharathi,GER,12.79,15.2,5.02,20.045,1.318,0.045,1.19,16.864,10.701,Best,SB,0.666,1.342
TK Curran,ENG,31.27,20.2,9.25,20.276,1.0,0.034,0.893,31.276,48.208,Average,IB,0.579,1.215
A Dananjaya,SL,32.46,23.7,8.2,21.387,0.903,0.0,0.903,29.323,44.362,Average,IB,0.604,1.214
RM Haq,SCOT,16.85,16.0,6.29,22.5,1.4,0.0,1.4,23.6,17.664,Best,SB,0.697,1.484
D Heyliger,CAN,17.42,15.5,6.71,19.745,1.273,0.136,0.789,22.182,19.481,Best,SB,0.609,1.273
KM Jarvis,ZIM,23.75,16.0,8.9,20.291,1.273,0.0,1.273,30.227,35.229,Good,SB,0.62,1.357
B Lee,AUS,25.5,19.4,7.86,21.72,1.12,0.0,1.12,28.56,33.405,Good,SB,0.61,1.334
Mohammed Nadeem,QAT,21.96,19.5,6.75,21.0,1.077,0.038,0.96,23.654,24.705,Best,SB,0.601,1.268
IK Pathan,INDIA,22.07,16.5,8.02,20.087,1.217,0.0,1.217,26.87,29.5,Best,SB,0.618,1.319
Rubel Hossain,BAN,32.57,20.6,9.45,21.4,1.037,0.0,1.037,33.778,51.298,Average,IB,0.572,1.288
Saad Bin Zafar,CAN,17.28,17.3,5.97,22.091,1.273,0.0,1.273,22.0,17.194,Best,SB,0.671,1.408
Samiullah Shinwari,AFG,24.57,22.6,6.51,16.642,0.737,0.053,0.528,18.105,26.658,Best,SPB,0.603,0.932
Shoaib Malik,PAK,24.1,20.3,7.1,11.633,0.571,0.0,0.571,13.776,28.518,Best,LCB,0.433,0.698
SW Tait,AUS,21.03,17.0,7.39,22.686,1.333,0.0,1.333,28.048,25.902,Best,SB,0.67,1.468
Yuvraj Singh,INDIA,17.82,15.1,7.06,13.626,0.903,0.0,0.903,16.097,20.968,Best,SPB,0.6,0.935
HS Baidwan,CAN,15.22,11.9,7.63,18.882,1.588,0.059,1.438,24.176,19.355,Best,SB,0.684,1.434
RP Burl,ZIM,21.85,18.2,7.19,15.871,0.871,0.0,0.871,19.032,26.184,Best,SPB,0.602,0.998
ST Finn,ENG,21.59,17.7,7.28,22.857,1.286,0.0,1.286,27.762,26.196,Best,SB,0.663,1.45
D Pretorius,SA,20.44,15.2,8.03,17.843,1.174,0.043,1.0,24.0,27.356,Best,SPB,0.611,1.193
B Stanlake,AUS,20.14,15.5,7.77,22.105,1.421,0.053,1.278,28.632,26.081,Best,SB,0.672,1.476
I Udana,SL,33.88,23.3,8.7,19.706,0.844,0.0,0.844,28.594,49.126,Average,IB,0.586,1.122
KJ Abbott,SA,22.26,16.7,7.96,20.686,1.238,0.0,1.238,27.571,29.532,Best,SB,0.625,1.352
DL Chahar,INDIA,22.26,16.1,8.27,21.0,1.3,0.05,1.053,28.95,30.682,Good,SB,0.62,1.359
MA Leask,SCOT,26.03,19.5,8.01,15.806,0.812,0.0,0.812,21.156,34.75,Good,SPB,0.568,0.965
WP Masakadza,ZIM,25.0,20.7,7.22,19.286,0.929,0.036,0.815,23.214,30.083,Good,SPB,0.617,1.134
JA Morkel,SA,33.23,24.8,8.01,14.022,0.565,0.0,0.565,18.783,44.362,Average,LCB,0.458,0.77
Muslim Yar,GER,17.38,16.6,6.27,19.636,1.182,0.0,1.182,20.545,18.162,Best,SB,0.627,1.281
Nasum Ahmed,BAN,16.0,14.8,6.44,19.29,1.3,0.15,0.824,20.8,17.173,Best,SB,0.615,1.273
NN Odhiambo,KENYA,26.46,20.3,7.8,17.052,0.839,0.032,0.7,22.194,34.398,Good,SPB,0.578,1.003
D Ravu,PNG,12.46,12.0,6.21,16.453,1.368,0.105,1.0,17.053,12.896,Best,SPB,0.678,1.21
MC Sorensen,IRE,18.11,15.0,7.24,17.727,1.182,0.0,1.182,21.409,21.853,Best,SPB,0.645,1.216
P Utseya,ZIM,33.0,28.8,6.87,21.343,0.743,0.0,0.743,24.514,37.785,Good,IB,0.636,1.122
MA Wood,ENG,23.88,16.5,8.68,22.516,1.368,0.0,1.368,32.684,34.546,Good,SB,0.66,1.488
Zeeshan Maqsood,OMA,23.88,20.7,6.9,18.0,0.867,0.067,0.643,20.7,27.462,Best,SPB,0.611,1.046
MA Baig,MWI,9.44,10.8,5.24,20.769,1.923,0.154,1.455,18.154,8.244,Best,SB,0.776,1.606
SE Bond,NZ,21.72,18.6,7.0,23.19,1.25,0.0,1.25,27.15,25.34,Best,SB,0.661,1.444
LH Ferguson,NZ,15.4,12.9,7.12,21.6,1.667,0.067,1.429,25.667,18.275,Best,SB,0.721,1.553
Harbhajan Singh,INDIA,25.32,24.4,6.2,22.667,0.926,0.037,0.808,23.444,26.164,Best,SB,0.585,1.249
BE Hendricks,SA,25.08,16.3,9.19,21.505,1.316,0.053,1.167,33.0,38.414,Good,SB,0.627,1.413
Mahedi Hasan,BAN,26.44,24.3,6.51,20.26,0.833,0.0,0.833,22.033,28.687,Best,SPB,0.638,1.132
B Muzarabani,ZIM,28.32,20.4,8.32,23.182,1.136,0.0,1.136,32.182,39.27,Good,SB,0.618,1.398
Nadeem Ahmed,HKG,21.84,19.8,6.61,20.575,1.042,0.042,0.913,22.75,24.06,Best,SB,0.589,1.234
E Otieno,KENYA,21.0,17.8,7.04,17.832,1.0,0.0,1.0,21.0,24.64,Best,SPB,0.629,1.13
LE Plunkett,ENG,25.08,19.0,7.9,21.6,1.136,0.0,1.136,28.5,33.022,Good,SB,0.613,1.337
B Regmi,NEPAL,16.2,14.9,6.51,20.7,1.389,0.056,1.235,22.5,17.577,Best,SB,0.669,1.401
SMSM Senanayake,SL,21.96,19.4,6.77,21.13,1.087,0.043,0.955,23.87,24.778,Best,SB,0.603,1.277
HR Walsh,USA/WI,24.76,18.9,7.85,18.84,1.0,0.0,1.0,24.76,32.394,Good,IB,0.644,1.169
Washington Sundar,INDIA,30.0,24.8,7.24,20.66,0.833,0.0,0.833,25.0,36.2,Good,IB,0.638,1.148
FA Allen,WI,26.91,21.7,7.43,17.897,0.828,0.0,0.828,22.276,33.324,Good,SPB,0.595,1.049
MNM Aslam,KUW,12.45,11.7,6.36,20.143,1.714,0.143,1.333,21.357,13.197,Good,SB,0.72,1.511
TT Bresnan,ENG,36.95,27.6,8.02,19.465,0.706,0.0,0.706,26.088,49.39,Average,IB,0.593,1.04
Haseeb Amjad,HKG,18.87,15.3,7.38,20.4,1.333,0.056,1.176,25.167,23.21,Good,SB,0.642,1.37
Junaid Siddique,UAE,22.5,18.5,7.26,21.2,1.143,0.048,1.0,25.714,27.225,Good,SB,0.608,1.306
P Mishra,BUL,27.5,21.2,7.76,19.615,0.923,0.0,0.923,25.385,35.567,Good,IB,0.636,1.157
Mohammad Nadeem,OMA,26.83,22.8,7.03,18.26,0.8,0.033,0.69,21.467,31.436,Good,SPB,0.603,1.033
N Nipiko,VAN,12.95,9.8,7.9,18.092,1.846,0.231,1.1,23.923,17.051,Good,SB,0.69,1.453
CO Obuya,KENYA,16.95,15.0,6.74,16.418,1.091,0.045,0.952,18.5,19.04,Good,SPB,0.639,1.11
KMA Paul,WI,26.79,18.0,8.93,21.6,1.2,0.05,1.0,32.15,39.872,Good,SB,0.599,1.346
VP Thamotharam,MLT,23.87,18.0,7.93,18.025,1.0,0.0,1.0,23.875,31.548,Good,SPB,0.602,1.139
Usman Qadir,PAK,16.41,13.0,7.57,19.5,1.5,0.062,1.333,24.625,20.704,Good,SB,0.669,1.413
A Vala,PNG,14.91,13.9,6.41,15.136,1.091,0.0,1.091,16.273,15.929,Good,SPB,0.646,1.08
CJA Amini,PNG,25.52,22.8,6.69,18.083,0.793,0.0,0.793,20.241,28.455,Good,SPB,0.617,1.036
IG Butler,NZ,20.91,15.5,8.06,19.8,1.278,0.0,1.278,26.722,28.089,Good,SB,0.628,1.337
Fitri Sham,MAL,22.91,18.8,7.28,19.691,1.045,0.0,1.045,23.955,27.797,Good,SB,0.584,1.22
CBRLS Kumara,SL,24.52,17.3,8.46,22.133,1.278,0.0,1.278,31.333,34.573,Good,SB,0.641,1.428
S Muniandy,MAL,30.82,19.8,9.3,16.911,0.852,0.074,0.6,26.259,47.771,Average,IB,0.579,0.996
N Pokana,PNG,22.56,20.3,6.66,19.375,0.958,0.0,0.958,21.625,25.042,Good,SPB,0.643,1.164
PADLR Sandakan,SL,24.21,20.0,7.26,22.92,1.15,0.05,1.0,27.85,29.294,Good,SB,0.622,1.372
RJ Sidebottom,ENG,19.0,15.9,7.14,20.367,1.278,0.0,1.278,24.278,22.61,Good,SB,0.643,1.354
CA Soper,PNG,18.69,16.9,6.61,18.571,1.095,0.0,1.095,20.476,20.59,Good,SPB,0.658,1.203
Taskin Ahmed,BAN,35.3,27.3,7.75,20.206,0.742,0.0,0.742,26.194,45.596,Average,IB,0.605,1.085
Amar Sharma,MLT,33.81,26.0,7.79,21.178,0.815,0.0,0.815,27.556,43.897,Average,IB,0.608,1.157
Amjad Mahboob,SGP,16.5,12.4,7.94,19.457,1.571,0.0,1.571,25.929,21.835,Good,SB,0.691,1.462
Awais Malik,QAT,20.27,15.5,7.82,19.0,1.222,0.0,1.222,24.778,26.419,Good,SB,0.612,1.281
Ijaz Hussain,ROM,16.31,13.5,7.22,18.525,1.375,0.062,1.2,22.438,19.626,Good,SB,0.637,1.316
FJ Klaassen,NED,28.4,21.3,7.97,20.4,0.957,0.0,0.957,27.174,37.725,Good,IB,0.627,1.205
D Maisuria,BOT,7.81,9.0,5.21,22.0,2.444,0.222,2.0,19.111,6.782,Good,SB,0.903,1.908
EJB Miles,JER,17.27,16.3,6.33,18.0,1.1,0.0,1.1,19.0,18.22,Good,SPB,0.666,1.185
MN Samuels,WI,28.27,21.7,7.79,15.9,0.733,0.0,0.733,20.733,36.704,Good,SPB,0.565,0.927
H Ssenyondo,UGA,20.13,21.7,5.54,19.875,0.917,0.042,0.783,18.458,18.587,Good,SPB,0.678,1.145
V Vijh,LUX,17.31,13.1,7.88,19.28,1.467,0.067,1.286,25.4,22.734,Good,SB,0.658,1.39
AC Botha,IRE,8.76,9.7,5.41,20.4,2.1,0.0,2.1,18.4,7.899,Good,SB,0.84,1.721
JP Duminy,SA,28.52,22.0,7.76,11.283,0.512,0.0,0.512,14.61,36.886,Good,LCB,0.408,0.65
Ehsan Khan,HKG,23.8,23.3,6.12,21.235,0.913,0.0,0.913,21.739,24.276,Good,SPB,0.666,1.205
Fareed Ahmad,AFG,21.76,15.6,8.33,20.438,1.312,0.0,1.312,28.562,30.21,Good,SB,0.637,1.381
Ghulam Ahmadi,GER,20.57,24.9,4.95,22.722,0.913,0.043,0.773,18.783,16.97,Good,SPB,0.715,1.236
Hamza Tahir,SCOT,19.57,14.5,8.05,23.538,1.615,0.077,1.417,31.615,26.256,Good,SB,0.717,1.618
AR McBrine,IRE,17.04,16.0,6.39,16.8,1.05,0.0,1.05,17.9,18.148,Good,SPB,0.653,1.118
Mohammad Sami,PAK,18.42,13.1,8.41,21.231,1.615,0.0,1.615,29.769,25.819,Good,SB,0.709,1.55
JDS Neesham,NZ,27.9,18.1,9.22,13.097,0.724,0.0,0.724,20.207,42.873,Average,LCB,0.455,0.819
