name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Naveed Shahid,Fin,47.5,33.0,8.63,16.5,0.5,0.0,0.5,23.75,68.321,Poor,IB,0.552,0.812
A Ndlovu,ZIM,72.5,54.0,8.05,18.0,0.333,0.0,0.333,24.167,97.271,Poor,IB,0.507,0.733
MMR Obili,EST,63.5,51.0,7.47,17.0,0.333,0.0,0.333,21.167,79.057,Poor,LCB,0.466,0.706
S Ogundipe,NGA,22.5,30.0,4.5,15.0,0.5,0.0,0.5,11.25,16.875,Poor,SPB,0.631,0.781
Omar Rassol,BUL,51.0,24.0,12.75,12.0,0.5,0.0,0.5,25.5,108.375,Poor,LCB,0.354,0.633
HH Patel,MWI,52.0,39.0,8.0,15.6,0.4,0.0,0.4,20.8,69.333,Poor,LCB,0.453,0.716
H Patel,CAN,48.5,35.5,8.19,11.5,0.333,0.0,0.333,16.167,66.202,Poor,LCB,0.368,0.535
DBL Powell,WI,65.5,51.0,7.7,20.4,0.4,0.0,0.4,26.2,84.058,Poor,IB,0.527,0.871
S Rakshit,CZK-R,49.5,38.5,7.71,15.0,0.4,0.0,0.4,19.8,63.607,Poor,LCB,0.446,0.699
JD Ryder,NZ,34.0,30.0,6.8,12.0,0.4,0.0,0.4,13.6,38.533,Poor,LCB,0.412,0.612
TK Saha,Fin,44.0,30.0,8.8,15.0,0.5,0.0,0.5,22.0,64.533,Poor,LCB,0.451,0.761
Sandeep Goud,OMA,38.0,24.0,9.5,12.0,0.5,0.0,0.5,19.0,60.167,Poor,LCB,0.396,0.656
Saqib Zulfiqar,NED,30.5,27.0,6.77,13.5,0.5,0.0,0.5,15.25,34.414,Poor,LCB,0.455,0.722
P Sarraf,NEPAL,37.5,39.0,5.76,11.143,0.286,0.0,0.286,10.714,36.0,Poor,LCB,0.386,0.514
