name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
SJ Benn,WI,12.33,88.09,0.143,0.857,0.571,1.571,0.0,10.861,Poor,F,-0.264,-1.768
JS Foster,ENG,12.33,115.62,0.031,0.2,0.4,6.2,0.0,14.256,Poor,LCB,-0.533,-1.829
J Hirschi,MLT,9.25,59.67,0.0,0.0,0.0,9.25,0.0,5.519,Poor,LCB,-1.481,-2.448
AM Kimote,TAN,12.33,119.35,0.129,0.8,0.4,4.2,0.0,14.716,Poor,F,-0.088,-1.097
Noman Amjad,FRAN,9.25,88.09,0.048,0.5,0.0,6.25,0.0,8.148,Poor,LCB,-0.911,-1.85
GR Russ,PHI,12.33,77.08,0.062,0.6,0.4,5.0,0.0,9.504,Poor,LCB,-0.915,-2.107
Sarfaraj Patel,LES,7.4,67.27,0.036,0.333,0.167,4.833,0.0,4.978,Poor,LCB,-1.282,-2.594
BM Wheeler,NZ,18.5,132.14,0.179,1.25,0.5,3.25,0.0,24.446,Poor,F,0.294,-0.316
Amandeep Singh,PORT,18.0,144.0,0.16,1.0,0.5,3.5,0.0,25.92,Poor,F,0.306,-0.375
Imran Arif,SAUDI,9.0,75.0,0.083,1.0,0.0,3.5,0.0,6.75,Poor,LCB,-0.947,-1.883
OC McCoy,WI,9.0,138.46,0.231,1.0,0.333,1.0,0.0,12.461,Poor,F,0.129,-0.502
Mohsin Hub,PERU,12.0,87.8,0.049,0.5,0.25,7.0,0.0,10.536,Poor,LCB,-0.823,-1.81
MMR Obili,EST,12.0,83.72,0.023,0.2,0.4,6.0,0.0,10.046,Poor,LCB,-1.001,-2.346
M Podosky,PHI,9.0,94.73,0.105,0.8,0.2,3.6,0.0,8.526,Poor,LCB,-0.6,-1.663
JA Richardson,AUS,12.0,116.12,0.129,0.571,0.571,2.571,0.0,13.934,Poor,F,-0.082,-1.509
Abdul Shakoor,UAE,17.5,87.5,0.075,0.75,0.5,5.75,0.0,15.312,Poor,LCB,-0.606,-1.593
